timestamp,sessionId,userChoice,computerChoice,result,userScore,computerScore,userChoiceLabel,computerChoiceLabel,resultLabel,userChoice_prev_1,computerChoice_prev_1,userChoice_prev_2,computerChoice_prev_2,userChoice_prev_3,computerChoice_prev_3,cluster
2025-05-19T10:26:37.681Z,session_1747649995288,rock,rock,It is a tie..!,20,29,1,1,0,2.0,1.0,0.0,0.0,2.0,0.0,1
2025-05-19T10:26:40.176Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,20,30,1,0,-1,1.0,1.0,2.0,1.0,0.0,0.0,1
2025-05-19T10:26:42.133Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,20,31,1,0,-1,1.0,0.0,1.0,1.0,2.0,1.0,1
2025-05-19T10:26:44.120Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,20,32,1,0,-1,1.0,0.0,1.0,0.0,1.0,1.0,1
2025-05-19T10:26:45.007Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,21,32,1,2,1,1.0,0.0,1.0,0.0,1.0,0.0,0
2025-05-19T10:27:18.469Z,session_1747649995288,paper,paper,It is a tie..!,21,32,0,0,0,1.0,2.0,1.0,0.0,1.0,0.0,1
2025-05-19T10:27:20.054Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,22,32,1,2,1,0.0,0.0,1.0,2.0,1.0,0.0,0
2025-05-19T10:27:22.386Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,22,33,2,1,-1,1.0,2.0,0.0,0.0,1.0,2.0,1
2025-05-19T10:27:24.108Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,22,34,1,0,-1,2.0,1.0,1.0,2.0,0.0,0.0,1
2025-05-19T10:27:25.328Z,session_1747649995288,paper,paper,It is a tie..!,22,34,0,0,0,1.0,0.0,2.0,1.0,1.0,2.0,1
2025-05-19T10:27:28.225Z,session_1747649995288,scissor,paper,Hurrah! You win..! scissor beats paper,23,34,2,0,1,0.0,0.0,1.0,0.0,2.0,1.0,0
2025-05-19T10:27:33.084Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,23,35,1,0,-1,2.0,0.0,0.0,0.0,1.0,0.0,1
2025-05-19T10:27:47.017Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,23,36,1,0,-1,1.0,0.0,2.0,0.0,0.0,0.0,1
2025-05-19T10:27:48.011Z,session_1747649995288,scissor,scissor,It is a tie..!,23,36,2,2,0,1.0,0.0,1.0,0.0,2.0,0.0,0
2025-05-19T10:27:49.358Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,23,37,0,2,-1,2.0,2.0,1.0,0.0,1.0,0.0,2
2025-05-19T10:27:50.462Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,23,38,1,0,-1,0.0,2.0,2.0,2.0,1.0,0.0,1
2025-05-19T10:27:51.753Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,23,39,0,2,-1,1.0,0.0,0.0,2.0,2.0,2.0,2
2025-05-19T10:27:52.422Z,session_1747649995288,scissor,paper,Hurrah! You win..! scissor beats paper,24,39,2,0,1,0.0,2.0,1.0,0.0,0.0,2.0,0
2025-05-19T10:27:54.035Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,25,39,1,2,1,2.0,0.0,0.0,2.0,1.0,0.0,0
2025-05-19T10:27:54.921Z,session_1747649995288,rock,rock,It is a tie..!,25,39,1,1,0,1.0,2.0,2.0,0.0,0.0,2.0,1
2025-05-19T10:28:09.846Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,26,39,1,2,1,1.0,1.0,1.0,2.0,2.0,0.0,0
2025-05-19T10:28:12.347Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,26,40,0,2,-1,1.0,2.0,1.0,1.0,1.0,2.0,2
2025-05-19T10:28:14.681Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,27,40,1,2,1,0.0,2.0,1.0,2.0,1.0,1.0,0
2025-05-19T10:28:16.793Z,session_1747649995288,paper,rock,Hurrah! You win..! paper beats rock,28,40,0,1,1,1.0,2.0,0.0,2.0,1.0,2.0,0
2025-05-19T10:28:19.848Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,28,41,2,1,-1,0.0,1.0,1.0,2.0,0.0,2.0,1
2025-05-19T10:29:21.118Z,session_1747649995288,scissor,rock,Oops! You lose...! rock beats scissor,28,42,2,1,-1,2.0,1.0,0.0,1.0,1.0,2.0,1
2025-05-19T10:29:26.415Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,29,42,1,2,1,2.0,1.0,2.0,1.0,0.0,1.0,0
2025-05-19T10:29:27.395Z,session_1747649995288,paper,scissor,Oops! You lose...! scissor beats paper,29,43,0,2,-1,1.0,2.0,2.0,1.0,2.0,1.0,2
2025-05-19T10:29:28.340Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,29,44,1,0,-1,0.0,2.0,1.0,2.0,2.0,1.0,1
2025-05-19T10:29:29.397Z,session_1747649995288,scissor,scissor,It is a tie..!,29,44,2,2,0,1.0,0.0,0.0,2.0,1.0,2.0,0
2025-05-19T10:29:30.251Z,session_1747649995288,paper,paper,It is a tie..!,29,44,0,0,0,2.0,2.0,1.0,0.0,0.0,2.0,1
2025-05-19T10:29:31.163Z,session_1747649995288,rock,scissor,Hurrah! You win..! rock beats scissor,30,44,1,2,1,0.0,0.0,2.0,2.0,1.0,0.0,0
2025-05-19T10:29:36.426Z,session_1747649995288,rock,paper,Oops! You lose...! paper beats rock,30,45,1,0,-1,1.0,2.0,0.0,0.0,2.0,2.0,1
2025-05-19T10:29:37.297Z,session_1747649995288,rock,rock,It is a tie..!,30,45,1,1,0,1.0,0.0,1.0,2.0,0.0,0.0,1
2025-05-19T10:29:37.980Z,session_1747649995288,rock,rock,It is a tie..!,30,45,1,1,0,1.0,1.0,1.0,0.0,1.0,2.0,1
2025-05-19T10:29:38.585Z,session_1747649995288,rock,rock,It is a tie..!,30,45,1,1,0,1.0,1.0,1.0,1.0,1.0,0.0,1
